,SR,ST,SM,SWC,pH,TC,TN,MBC,NH4-N,NO3-N,AP,AB,RB
CK-1,3.12,27.5,11.1,0.071,8.92,9.736,0.341,127.137,1.334,0.846,0.667,139.84,12.12
CK-2,2.64,27.8,12.7,0.095,9.13,9.981,0.246,97.312,0.818,2.56,0.661,76.04,12.2
CK-3,2.04,27.6,16.3,0.169,8.6,10.309,0.259,102.223,0.499,3.061,0.757,99.57,11.38
CK-4,2.12,27.6,14.7,0.136,8.7,9.053,0.194,75.998,0.553,4.432,0.625,105.98,8.67
CK-5,2.18,27.5,12.3,0.121,8.89,9.805,0.376,80.833,0.888,1.901,0.992,94.6,9.46
EA-1,3.75,27.4,12.4,0.102,8.88,10.868,0.388,103.477,1.049,1.01,0.841,84.25,13.37
EA-2,2.85,27.9,13.3,0.074,9.02,12.167,0.678,113.213,0.615,1.106,0.751,133.14,10.16
EA-3,2.62,27.8,17.2,0.168,8.8,11.813,0.537,116.453,0.372,1.432,0.856,100.39,12.52
EA-4,2.51,27.5,14.4,0.113,8.75,10.35,0.318,104.248,0.528,2.146,0.783,205.88,11.59
EA-5,3.74,27.6,12.9,0.167,8.97,8.782,0.443,92.544,0.528,1.465,0.803,68.05,10.97
ET-1,2.34,29.1,13.6,0.112,8.21,13.633,0.508,88.745,1.02,4.048,0.279,100.99,10.58
ET-2,2.07,27.5,15.4,0.136,8.98,11.73,0.41,103.953,0.942,1.291,0.743,158.92,12.57
ET-3,2.77,27.4,15.1,0.116,8.71,10.259,0.351,88.839,0.757,1.703,1.002,100.14,7.49
ET-4,3.41,27.9,16,0.156,8.79,9.81,0.312,106.391,0.665,1.069,1.027,108.99,11.65
ET-5,3.14,27.7,16.1,0.124,8.85,10.919,0.227,91.747,0.552,0.155,0.853,146.06,12.24
