,Aporcelaimus,Filenchus,Mesorhabditis,Tylenchorhynchus,Eudorylaimus,Cephalobus,Cephalenchus,Miculenchus,Rhabditis,Acrobeles,Pa0grolaimus,Cervidellus,Epitobrilus,Aphelenchoides,Chiloplacus,Aphelenchus,Protorhabditis,Aulolaimus,Acrobeloides,Plectus,Cylindrolaimus,Labronema,Rhabditophanes,Tylenchus,Rotylenchus,Prismatolaimus,Tylencholaimus,Discolaimus,Eucephalobus,Paratylenchus,Xiphinema,Mononchus,Mesodorylaimus
CK-1,3,0,7,5,0,7,2,5,0,2,0,2,0,4,2,10,8,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
CK-2,1,6,18,1,2,9,2,7,2,0,1,1,1,9,2,14,0,1,2,2,0,0,6,0,0,0,9,0,3,0,1,0,1
CK-3,1,7,14,0,3,8,1,4,6,1,1,0,1,12,5,18,0,2,0,0,0,1,3,0,0,0,4,0,0,5,1,0,2
CK-4,1,11,12,2,2,5,3,3,2,1,2,0,2,14,1,16,1,2,0,1,1,0,3,2,1,0,8,0,0,1,2,0,1
CK-5,9,8,4,0,3,8,12,0,0,2,0,1,1,17,2,11,0,2,0,2,0,2,2,1,0,0,11,0,0,1,0,0,1
EA-1,2,2,1,1,3,3,11,13,1,2,1,3,5,17,8,8,6,4,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0
EA-2,6,4,3,11,1,13,6,17,1,1,0,4,3,13,1,7,1,1,1,0,1,2,1,0,1,0,0,1,0,0,0,0,0
EA-3,8,2,0,3,0,8,19,19,1,3,0,6,0,5,9,9,0,1,0,4,0,0,1,1,0,0,0,0,1,0,0,0,0
EA-4,1,3,1,2,3,23,13,14,7,0,0,0,1,3,7,6,0,1,3,4,0,2,0,0,0,0,1,0,3,0,1,1,0
EA-5,7,2,5,2,4,15,5,15,0,0,0,0,0,10,6,19,2,0,0,0,0,0,5,1,0,1,1,0,0,0,0,0,0
ET-1,8,19,3,2,2,2,2,9,1,2,2,5,2,15,0,0,0,0,2,0,8,0,6,4,2,4,0,0,0,0,0,0,0
ET-2,17,6,10,0,2,9,0,19,1,2,0,2,0,17,2,4,0,5,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0
ET-3,10,6,4,3,2,10,0,12,2,0,0,6,2,18,0,7,0,2,2,0,0,2,8,2,2,0,0,0,0,0,0,0,0
ET-4,11,11,5,5,4,15,2,12,2,0,0,0,2,5,2,13,0,0,0,0,0,4,2,0,0,0,0,2,1,0,0,0,2
ET-5,7,6,3,1,1,14,7,11,2,3,0,2,4,15,1,11,0,0,0,0,2,2,2,0,2,0,0,0,3,0,0,0,1
